label,task,result,cost,score,time,configCount,revisitCount,acceptCount,bestCount,saRunCount,searchAlg,tool,pca,thresh,seed,mode,improve
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,12.445327520370500,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatFibonacci03,SAFE,-1,-1,12.626765012741100,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,3.398081064224240,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,3.41776704788208,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,3.6040561199188200,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,3.7205190658569300,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,3.76578950881958,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,4.459713935852050,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,4.493610382080080,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,4.624626874923710,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,4.693498134613040,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,5,base-classification,false
TN,jayhorn-recursive/SatGcd,SAFE,-1,-1,4.708243131637570,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,2,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,3.640130043029790,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,1,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,3.7596585750579800,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,2,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,3.8205699920654300,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,3,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,3.835984945297240,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,4,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,3.9176652431488000,1,-1,-1,-1,-1,Baseline0,JayHorn,false,-1,5,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,64.6115579605103,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,3,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,64.7809593677521,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,4,base-classification,false
FN,jayhorn-recursive/SatHanoi01,UNSAFE,-1,-1,64.9143974781036,1,-1,-1,-1,-1,Baseline1,JayHorn,false,-1,1,base-classification,false
