O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,UNK,TP,TN,FP,FN
1,0,0,0,0,1,1,0,1,1,1,5000,1,1000,5,lifo,sc,--arrays-uf-never,0,--round-to-plus-inf,0,808,128,20,38,6
1,0,0,0,1,0,1,0,1,1,1,5000,100,1000,100,0,tso,--arrays-uf-never,0,--round-to-zero,--cprover-smt2,709,218,31,36,6
1,0,0,0,1,0,1,1,0,1,1,1000,5,0,20,lifo,tso,0,--reachability-slice,--round-to-zero,--cvc4,751,180,0,69,0
1,0,0,0,1,1,0,0,1,0,0,0,1,2000,0,fifo,tso,--arrays-uf-always,--reachability-slice,--round-to-zero,--mathsat,740,111,118,14,17
1,0,0,0,1,1,0,0,1,0,0,2000,1,1000,20,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,--cprover-smt2,614,212,127,21,26
1,0,0,0,1,1,1,0,0,0,1,2000,20,5000,10,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,0,690,163,84,51,12
1,0,0,0,1,1,1,0,1,1,1,1000,5,100,100,fifo,pso,0,--reachability-slice-fb,--round-to-minus-inf,0,718,153,77,42,10
1,0,0,0,1,1,1,1,1,0,0,100,5,2000,10,lifo,sc,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,0,708,195,0,97,0
1,0,0,1,0,0,0,1,0,0,0,2000,1,0,20,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-minus-inf,--z3,810,168,0,22,0
1,0,0,1,0,0,0,1,1,0,1,100,5,0,5,fifo,tso,--arrays-uf-never,--reachability-slice,--round-to-nearest,--yices,921,69,0,10,0
1,0,0,1,0,0,1,1,1,0,1,2000,20,5000,20,0,sc,0,--reachability-slice,--round-to-nearest,--yices,730,224,0,46,0
1,0,0,1,0,1,0,0,0,0,1,100,10,1000,5,0,pso,0,--reachability-slice-fb,--round-to-nearest,0,78,75,425,5,417
1,0,0,1,0,1,1,0,1,0,1,2000,100,0,5,fifo,pso,0,--reachability-slice-fb,--round-to-nearest,--cprover-smt2,703,146,96,38,17
1,0,0,1,0,1,1,0,1,1,0,5000,1,100,5,0,pso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--mathsat,446,264,92,183,15
1,0,0,1,0,1,1,1,0,0,0,100,100,5000,100,fifo,tso,0,0,--round-to-nearest,--boolector,1000,0,0,0,0
1,0,0,1,1,0,0,0,1,0,1,0,10,2000,100,fifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--mathsat,729,121,103,27,20
1,0,0,1,1,0,0,1,0,1,1,0,100,100,100,lifo,tso,0,0,--round-to-plus-inf,--cvc4,827,160,0,13,0
1,0,0,1,1,0,0,1,1,0,0,2000,1,2000,0,0,tso,0,0,--round-to-minus-inf,--cprover-smt2,750,222,0,28,0
1,0,0,1,1,0,1,0,1,0,0,5000,5,2000,10,0,pso,--arrays-uf-always,0,--round-to-zero,--boolector,675,226,19,75,5
1,0,0,1,1,0,1,1,0,0,1,1000,100,2000,10,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-zero,--mathsat,923,67,0,10,0
1,0,0,1,1,1,0,0,0,1,0,100,100,1000,20,lifo,pso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,0,31,64,459,7,439
1,0,0,1,1,1,0,1,1,1,0,5000,20,0,10,fifo,sc,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices,861,125,0,14,0
1,0,0,1,1,1,0,1,1,1,1,100,10,100,0,fifo,tso,0,--reachability-slice,--round-to-plus-inf,--yices,924,68,0,8,0
1,0,0,1,1,1,1,1,1,0,1,0,20,1000,20,0,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--z3,719,234,0,47,0
1,0,0,1,1,1,1,1,1,1,0,0,1,1000,10,lifo,pso,0,0,--round-to-minus-inf,--boolector,796,139,0,65,0
1,0,1,0,0,0,0,0,1,1,0,2000,20,5000,10,fifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-plus-inf,--boolector,466,139,176,37,182
1,0,1,0,0,0,0,1,0,0,1,2000,20,100,100,lifo,sc,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--yices,1000,0,0,0,0
1,0,1,0,0,0,0,1,0,1,1,0,5,0,0,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--z3,719,219,0,62,0
1,0,1,0,0,0,1,0,0,1,0,0,20,0,5,0,sc,--arrays-uf-always,0,--round-to-nearest,--boolector,531,364,22,82,1
1,0,1,0,0,0,1,1,0,1,0,2000,1,1000,100,lifo,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--boolector,601,306,0,93,0
1,0,1,0,0,1,0,0,0,0,1,0,100,1000,0,lifo,tso,--arrays-uf-never,--reachability-slice,--round-to-minus-inf,--z3,563,191,99,32,115
1,0,1,0,0,1,0,1,0,1,0,1000,10,5000,10,lifo,pso,0,0,--round-to-plus-inf,0,744,203,0,53,0
