TN,TP,FN,FP,config,complete,score,falseRate,numVars,numIfs,numLoops,numFuncs,numCalls,numFundTypes,numArrayTypes,numPointerTypes,numCompTypes,numThings,numLines,numLoads,numStores,numAddrSpaceCast,numAlloca,numAtomicCmpXchg,numAtomicRMW,numBitCast,numBranch,numCall,numCatchPad,numCatchReturn,numCatchSwitch,numCleanupPad,numCleanupReturn,numExtractElement,numExtractValue,numFCmp,numFence,numFPExt,numFPToSI,numFPToUI,numFPTrunc,numGetElementPtr,numICmp,numIndirectBr,numInsertElement,numInsertValue,numIntToPtr,numInvoke,numLandingPad,numLoad,numPHINode,numPtrToInt,numResume,numReturn,numSelect,numSExt,numShuffleVector,numSIToFP,numStore,numSwitch,numTrunc,numUIToFP,numUnreachable,numVAArg,numZExt,numDUMMY
0,264,0,0,295,264,264.0,0.0,5,3,1,1,4,5,0,0,0,34,47,11,10,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0
0,264,0,0,295,264,264.0,0.0,8,2,1,1,4,8,0,0,0,35,44,9,11,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0
0,264,0,0,295,264,264.0,0.0,3,2,1,1,2,3,0,0,0,18,26,5,5,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
0,264,0,0,295,264,264.0,0.0,4,0,0,1,2,4,0,0,0,17,20,4,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
0,264,0,0,295,264,264.0,0.0,4,2,1,1,3,4,0,0,0,23,33,7,6,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
0,264,0,0,295,264,264.0,0.0,3,2,1,1,2,3,0,0,0,20,29,7,5,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0
0,263,0,0,295,263,263.0,0.0,4,1,1,1,3,4,0,0,0,23,29,7,7,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0
0,263,0,0,295,263,263.0,0.0,4,3,1,1,4,4,0,0,0,25,38,7,6,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0
0,263,0,0,295,263,263.0,0.0,5,1,1,1,3,5,0,0,0,26,37,8,8,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0
0,261,0,0,295,261,261.0,0.0,10,7,3,4,14,3,0,7,0,85,125,29,21,0,0,0,0,6,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,29,0,0,0,4,0,1,0,0,21,0,0,0,0,0,0,0
