TN,TP,FN,FP,prog,complete,score,falseRate,--drop-unused-functions,--full-slice,--no-assumptions,--no-built-in-assertions,--no-pretty-names,--no-self-loops-to-assumptions,--nondet-static,--partial-loops,--refine,--refine-strings,--slice-formula,--depth,--unwind,--max-nondet-tree-depth,--min-null-tree-depth,--paths,--mm,arrays-uf,reachability-slice,round,solver
0,124,0,48,1000,172,-644.0,27.9069767442,0,1,1,0,0,0,0,1,1,0,1,2000,100,0,10,fifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-nearest,--cprover-smt2
0,203,0,53,1000,256,-645.0,20.703125,1,0,1,0,0,1,0,1,0,1,0,1000,10,5000,10,lifo,pso,0,0,--round-to-plus-inf,0
0,202,0,53,1000,255,-646.0,20.7843137255,1,0,1,1,1,0,1,1,1,1,1,0,20,100,10,fifo,pso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,--cvc4
0,361,0,63,1000,424,-647.0,14.858490566,1,1,0,1,0,1,1,1,0,1,1,0,20,100,5,fifo,pso,--arrays-uf-always,0,--round-to-minus-inf,--z3
0,167,0,51,1000,218,-649.0,23.3944954128,1,0,1,1,1,0,1,1,1,1,1,2000,20,5000,5,lifo,tso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--mathsat
0,358,0,63,1000,421,-650.0,14.9643705463,0,1,0,0,0,0,1,1,1,0,0,1000,10,0,0,fifo,tso,0,0,--round-to-minus-inf,--cprover-smt2
0,109,0,48,1000,157,-659.0,30.5732484076,0,1,0,0,1,0,0,1,1,1,1,2000,1,1000,10,fifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-zero,0
0,108,0,48,1000,156,-660.0,30.7692307692,0,1,0,1,0,0,0,1,1,1,1,1000,5,1000,10,lifo,tso,0,--reachability-slice,--round-to-zero,--yices
0,104,0,48,1000,152,-664.0,31.5789473684,0,1,0,1,0,0,0,1,0,1,0,1000,20,5000,100,lifo,sc,--arrays-uf-always,--reachability-slice,--round-to-zero,--cprover-smt2
0,179,0,53,1000,232,-669.0,22.8448275862,0,0,0,1,1,1,1,1,1,1,1,100,100,2000,5,fifo,pso,--arrays-uf-always,--reachability-slice,--round-to-zero,--z3
77,153,10,42,1000,282,-685.0,18.4397163121,1,0,0,0,1,1,1,0,1,1,1,1000,5,100,100,fifo,pso,0,--reachability-slice-fb,--round-to-minus-inf,0
0,112,0,50,1000,162,-688.0,30.8641975309,0,1,0,0,1,1,0,1,1,1,1,1000,100,0,5,lifo,pso,0,--reachability-slice,--round-to-plus-inf,0
87,226,8,52,1000,373,-688.0,16.0857908847,0,0,1,0,0,0,1,0,1,1,1,0,10,1000,10,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--yices
93,146,13,38,1000,290,-692.0,17.5862068966,0,0,0,1,1,1,1,0,1,0,1,0,20,5000,10,fifo,pso,0,--reachability-slice-fb,--round-to-plus-inf,--mathsat
0,361,0,66,1000,427,-695.0,15.4566744731,1,0,1,1,0,0,0,1,0,1,0,0,10,2000,5,0,sc,--arrays-uf-never,--reachability-slice,--round-to-zero,--cvc4
0,373,0,67,1000,440,-699.0,15.2272727273,0,0,1,0,1,0,0,1,0,1,1,1000,10,2000,100,0,sc,0,0,--round-to-nearest,--yices
127,212,26,21,1000,386,-702.0,12.1761658031,1,0,0,0,1,1,0,0,1,0,0,2000,1,1000,20,0,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,--cprover-smt2
0,113,0,51,1000,164,-703.0,31.0975609756,1,1,0,0,0,0,0,1,0,1,1,2000,1,1000,20,lifo,sc,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--yices
98,346,13,52,1000,509,-706.0,12.7701375246,0,1,0,1,1,0,1,0,1,0,0,0,1,0,10,fifo,sc,0,0,--round-to-nearest,--cvc4
0,120,0,52,1000,172,-712.0,30.2325581395,1,1,1,0,1,0,0,1,1,0,0,5000,5,100,20,fifo,sc,--arrays-uf-always,--reachability-slice,--round-to-nearest,--z3
0,152,0,54,1000,206,-712.0,26.213592233,0,0,1,1,1,1,0,1,1,0,1,2000,1,2000,0,lifo,tso,--arrays-uf-always,--reachability-slice,--round-to-minus-inf,0
