TN,TP,FN,FP,prog,complete,score,falseRate,numIfs,numVars,numFuncs,numCalls,numLoops,numArrayTypes,numCompositeTypes,numFundamentalTypes,numLines,SSASwitchInstruction,SSAArrayLengthInstruction,SSAArrayLoadInstruction,SSAPutInstruction,SSAComparisonInstruction,SSAConditionalBranchInstruction,SSANewInstruction,SSAReturnInstruction,SSAGetInstruction,SSAGotoInstruction,SSALoadMetadataInstruction,SSAInstanceofInstruction,SSAArrayStoreInstruction,SSACheckCastInstruction,SSAGetCaughtExceptionInstruction,SSABinaryOpInstruction,SSAPhiInstruction,SSAUnaryOpInstruction,SSAConversionInstruction,SSAPiInstruction,SSAMonitorInstruction,SSAInvokeInstruction,SSAThrowInstruction
0,24,0,0,256,24,24.0,0.0,2,10,2,3,0,0,1,9,15,1,0,0,0,2,1,0,0,0,4,1,0,0,1,0,3,0,1,0,0,0,1,1
0,0,0,66,256,66,-1056.0,100.0,8,54,2,14,2,2,3,49,53,1,9,0,5,0,0,5,0,6,1,0,3,0,15,1,0,3,1,1,5,0,0,2
201,0,0,0,256,201,402.0,0.0,2,12,3,2,0,0,1,11,25,1,0,3,1,0,6,1,0,1,1,5,0,0,0,0,0,0,0,5,1,1,0,0
139,0,0,35,256,174,-282.0,20.1149425287,0,29,4,2,0,0,1,28,39,0,0,0,1,0,5,3,4,7,3,1,0,0,0,0,2,1,0,0,0,0,11,2
0,0,0,1,256,1,-16.0,100.0,6,31,3,7,2,0,3,28,51,12,0,3,3,0,3,1,0,6,1,11,0,0,0,0,0,0,0,10,1,10,0,0
165,0,0,21,256,186,-6.0,11.2903225806,4,13,2,3,0,0,3,10,25,1,2,0,0,3,2,0,0,0,4,3,0,1,1,0,5,0,1,0,0,0,3,1
208,0,0,0,256,208,416.0,0.0,3,12,3,3,0,0,1,11,23,1,0,2,1,0,4,1,0,1,1,6,0,0,0,0,0,0,0,5,1,1,0,0
0,0,0,66,256,66,-1056.0,100.0,5,18,2,6,0,0,2,16,24,2,0,0,2,0,2,2,0,1,1,7,0,0,0,0,0,0,0,6,1,1,0,0
0,15,5,0,256,20,-145.0,25.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,3,0,256,13,-86.0,23.0769230769,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,4,0,256,15,-117.0,26.6666666667,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,4,0,256,15,-117.0,26.6666666667,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,12,6,0,256,18,-180.0,33.3333333333,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,11,4,0,256,15,-117.0,26.6666666667,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,4,0,256,14,-118.0,28.5714285714,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,10,3,0,256,13,-86.0,23.0769230769,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
0,13,0,0,256,13,13.0,0.0,0,26,4,1,0,0,0,26,32,0,0,4,3,1,1,0,0,0,3,13,0,0,0,0,1,0,2,7,0,0,0,0
