TN,TP,FN,FP,prog,complete,score,falseRate,-rta,-specs,-bounded-heap-size,-heap-limit,-heap-mode,-initial-heap-size,-inline-count,-inline-size,-mem-prec,-solver,-step-heap-size,-solver-options
96,83,0,37,368,216,-317.0,17.1296296296,off,off,100,100,unbounded,100,10,100,5,spacer,100,off
38,84,0,97,368,219,-1392.0,44.2922374429,off,off,1000,1,unbounded,1000,100,10,5,spacer,1,off
100,0,0,0,368,100,200.0,0.0,on,on,1000,-1,unbounded,1000,100,-1,5,eldarica,1000,debug
94,83,0,38,368,215,-337.0,17.6744186047,on,off,5000,100,bounded,10,1000,100,4,spacer,1000,off
93,82,0,36,368,211,-308.0,17.0616113744,on,on,5000,1000,unbounded,100,1,100,3,spacer,1,off
82,138,0,37,368,257,-290.0,14.3968871595,off,on,10,100,auto,1,1,10,2,eldarica,1,abstractPO
96,84,0,37,368,217,-316.0,17.0506912442,off,on,1,10,auto,5000,10,1000,1,spacer,100,off
94,83,1,39,368,217,-385.0,18.4331797235,on,on,1000,100,auto,5000,100,-1,1,spacer,10,off
105,70,0,1,368,176,264.0,0.568181818182,off,on,5000,-1,auto,10,1,10,3,eldarica,1000,abstractPO
36,21,0,4,368,61,29.0,6.55737704918,on,off,100,1,bounded,1,1000,100,4,eldarica,5000,abstractPO
0,0,0,0,368,0,0.0,0.0,off,on,1,10,bounded,100,1000,1,1,eldarica,1,debug
97,0,0,0,368,97,194.0,0.0,on,off,1000,10,unbounded,5000,100,10,3,eldarica,10,off
94,83,1,39,368,217,-385.0,18.4331797235,on,on,100,100,unbounded,100,100,10,1,spacer,100,off
84,68,0,1,368,153,220.0,0.653594771242,off,on,10,100,bounded,10,-1,-1,3,eldarica,5000,off
102,0,0,0,368,102,204.0,0.0,off,on,1000,-1,unbounded,1,1,-1,5,eldarica,10,debug
36,21,0,4,368,61,29.0,6.55737704918,on,off,1000,100,bounded,1,10,1000,1,eldarica,1000,debug
97,122,0,38,368,257,-292.0,14.7859922179,on,off,100,-1,unbounded,1000,1,1000,4,spacer,100,off
101,0,4,0,368,105,74.0,3.80952380952,off,on,5000,-1,auto,5000,100,1000,1,eldarica,5000,debug
100,0,1,0,368,101,168.0,0.990099009901,off,on,100,1000,unbounded,100,100,10,2,eldarica,5000,abstract
97,0,0,0,368,97,194.0,0.0,on,on,1000,100,auto,1000,1000,1,2,eldarica,100,debug
97,0,0,0,368,97,194.0,0.0,on,off,1000,1000,unbounded,1,10,1,4,eldarica,10,abstractPO
97,0,0,0,368,97,194.0,0.0,on,on,5000,100,unbounded,100,10,1,4,eldarica,5000,abstractPO
37,0,1,0,368,38,42.0,2.63157894737,on,on,100,1,unbounded,1,100,-1,4,eldarica,10,abstract
76,0,0,0,368,76,152.0,0.0,off,off,10,1000,unbounded,1000,1,1,5,eldarica,5000,debug
94,84,0,39,368,217,-352.0,17.9723502304,on,off,1,10,auto,5000,-1,100,4,spacer,10,off
2,2,0,1,368,5,-10.0,20.0,off,off,1000,-1,bounded,100,1000,10,5,eldarica,100,abstract
37,0,0,0,368,37,74.0,0.0,off,off,1,1,unbounded,1,1,1000,5,eldarica,10,abstractPO
0,2,0,1,368,3,-14.0,33.3333333333,off,off,5000,10,bounded,100,10,-1,4,eldarica,1,debug
93,81,1,38,368,213,-373.0,18.3098591549,on,on,10,1000,auto,1000,-1,100,1,spacer,100,off
37,19,0,1,368,57,77.0,1.75438596491,on,off,1,1,bounded,1,-1,-1,2,eldarica,10,debug
2,2,0,1,368,5,-10.0,20.0,off,off,1000,-1,bounded,100,-1,1000,3,eldarica,5000,abstractPO
100,0,0,0,368,100,200.0,0.0,on,off,1000,-1,unbounded,1,100,1,3,eldarica,5000,abstractPO
37,0,5,0,368,42,-86.0,11.9047619048,off,off,5000,1,auto,5000,-1,100,1,eldarica,10,abstract
