0,1,0,1,0,0,1,0,1,0,1,100,100,100,5,0,sc,--arrays-uf-always,--reachability-slice,--round-to-plus-inf,--yices
1,1,0,1,0,1,0,0,1,1,1,1000,10,1000,20,0,sc,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--mathsat
0,0,1,0,1,1,0,1,0,1,1,1000,1,2000,0,fifo,tso,--arrays-uf-always,--reachability-slice-fb,--round-to-zero,--yices
0,0,0,1,0,0,1,1,1,1,1,100,1,0,20,lifo,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--boolector
1,1,0,1,1,0,0,1,0,0,1,2000,100,5000,20,0,pso,--arrays-uf-always,--reachability-slice,--round-to-nearest,--boolector
0,1,0,0,0,0,1,0,1,0,1,0,5,2000,0,0,pso,--arrays-uf-never,--reachability-slice-fb,--round-to-nearest,--boolector
1,1,1,0,1,0,1,1,0,0,0,100,5,1000,100,0,pso,--arrays-uf-always,0,--round-to-nearest,--yices
0,0,0,0,0,1,1,1,1,0,0,1000,1,2000,100,fifo,pso,0,--reachability-slice-fb,--round-to-minus-inf,--cvc4
1,0,0,1,1,1,1,1,1,0,1,0,20,1000,20,0,tso,--arrays-uf-never,--reachability-slice,--round-to-plus-inf,--z3
1,1,1,1,0,1,0,0,0,1,0,0,100,2000,10,fifo,sc,--arrays-uf-always,0,--round-to-nearest,0
0,1,1,1,0,1,0,1,1,1,1,5000,1,100,20,lifo,tso,--arrays-uf-never,--reachability-slice-fb,--round-to-plus-inf,--cvc4
0,0,1,1,0,1,1,0,1,0,0,0,5,1000,100,fifo,tso,--arrays-uf-never,0,--round-to-minus-inf,--cprover-smt2
1,1,1,1,1,0,1,1,0,1,1,100,10,5000,5,0,sc,0,0,--round-to-minus-inf,--mathsat
1,0,1,0,0,0,0,1,0,1,1,0,5,0,0,lifo,pso,--arrays-uf-always,--reachability-slice-fb,--round-to-minus-inf,--z3
1,0,0,1,0,1,1,1,0,0,0,100,100,5000,100,fifo,tso,0,0,--round-to-nearest,--boolector
1,1,1,1,1,1,1,0,0,0,0,2000,10,1000,100,fifo,sc,--arrays-uf-always,0,--round-to-plus-inf,--boolector
